"Statistic Label","Month","Passenger Category","UNIT","VALUE"
"Number of Passengers Departing Overseas","2023 January","Outbound Irish","Thousand","715.1"
"Number of Passengers Departing Overseas","2023 January","Same Day Visitor: Northern Irish","Thousand","49.8"
"Number of Passengers Departing Overseas","2023 January","Same Day Visitor: Transfer","Thousand","47.6"
"Number of Passengers Departing Overseas","2023 January","Same Day Visitor: Other","Thousand","17.3"
"Number of Passengers Departing Overseas","2023 January","Overnight Foreign Resident Visitor","Thousand","400"
"Number of Passengers Departing Overseas","2023 January","All Passenger Categories","Thousand","1229.8"
"Number of Passengers Departing Overseas","2023 February","Outbound Irish","Thousand","770.9"
"Number of Passengers Departing Overseas","2023 February","Same Day Visitor: Northern Irish","Thousand","60.2"
"Number of Passengers Departing Overseas","2023 February","Same Day Visitor: Transfer","Thousand","33.4"
"Number of Passengers Departing Overseas","2023 February","Same Day Visitor: Other","Thousand","11"
"Number of Passengers Departing Overseas","2023 February","Overnight Foreign Resident Visitor","Thousand","337"
"Number of Passengers Departing Overseas","2023 February","All Passenger Categories","Thousand","1212.4"
"Number of Passengers Departing Overseas","2023 March","Outbound Irish","Thousand","902.5"
"Number of Passengers Departing Overseas","2023 March","Same Day Visitor: Northern Irish","Thousand","81.7"
"Number of Passengers Departing Overseas","2023 March","Same Day Visitor: Transfer","Thousand","56.9"
"Number of Passengers Departing Overseas","2023 March","Same Day Visitor: Other","Thousand","13.6"
"Number of Passengers Departing Overseas","2023 March","Overnight Foreign Resident Visitor","Thousand","425.2"
"Number of Passengers Departing Overseas","2023 March","All Passenger Categories","Thousand","1479.9"
"Number of Passengers Departing Overseas","2023 April","Outbound Irish","Thousand","1108.6"
"Number of Passengers Departing Overseas","2023 April","Same Day Visitor: Northern Irish","Thousand","104.9"
"Number of Passengers Departing Overseas","2023 April","Same Day Visitor: Transfer","Thousand","76"
"Number of Passengers Departing Overseas","2023 April","Same Day Visitor: Other","Thousand","10.8"
"Number of Passengers Departing Overseas","2023 April","Overnight Foreign Resident Visitor","Thousand","461.9"
"Number of Passengers Departing Overseas","2023 April","All Passenger Categories","Thousand","1762.2"
"Number of Passengers Departing Overseas","2023 May","Outbound Irish","Thousand","1106.2"
"Number of Passengers Departing Overseas","2023 May","Same Day Visitor: Northern Irish","Thousand","100.9"
"Number of Passengers Departing Overseas","2023 May","Same Day Visitor: Transfer","Thousand","100.1"
"Number of Passengers Departing Overseas","2023 May","Same Day Visitor: Other","Thousand","17.3"
"Number of Passengers Departing Overseas","2023 May","Overnight Foreign Resident Visitor","Thousand","573.3"
"Number of Passengers Departing Overseas","2023 May","All Passenger Categories","Thousand","1897.8"
"Number of Passengers Departing Overseas","2023 June","Outbound Irish","Thousand","1231.5"
"Number of Passengers Departing Overseas","2023 June","Same Day Visitor: Northern Irish","Thousand","107.9"
"Number of Passengers Departing Overseas","2023 June","Same Day Visitor: Transfer","Thousand","101.5"
"Number of Passengers Departing Overseas","2023 June","Same Day Visitor: Other","Thousand","25.5"
"Number of Passengers Departing Overseas","2023 June","Overnight Foreign Resident Visitor","Thousand","619.9"
"Number of Passengers Departing Overseas","2023 June","All Passenger Categories","Thousand","2086.3"
"Number of Passengers Departing Overseas","2023 July","Outbound Irish","Thousand","1278.5"
"Number of Passengers Departing Overseas","2023 July","Same Day Visitor: Northern Irish","Thousand","128.1"
"Number of Passengers Departing Overseas","2023 July","Same Day Visitor: Transfer","Thousand","102.8"
"Number of Passengers Departing Overseas","2023 July","Same Day Visitor: Other","Thousand","17.6"
"Number of Passengers Departing Overseas","2023 July","Overnight Foreign Resident Visitor","Thousand","650.2"
"Number of Passengers Departing Overseas","2023 July","All Passenger Categories","Thousand","2177.2"
"Number of Passengers Departing Overseas","2023 August","Outbound Irish","Thousand","1207"
"Number of Passengers Departing Overseas","2023 August","Same Day Visitor: Northern Irish","Thousand","115.5"
"Number of Passengers Departing Overseas","2023 August","Same Day Visitor: Transfer","Thousand","97.1"
"Number of Passengers Departing Overseas","2023 August","Same Day Visitor: Other","Thousand","37.1"
"Number of Passengers Departing Overseas","2023 August","Overnight Foreign Resident Visitor","Thousand","737.6"
"Number of Passengers Departing Overseas","2023 August","All Passenger Categories","Thousand","2194.3"
"Number of Passengers Departing Overseas","2023 September","Outbound Irish","Thousand","1139.4"
"Number of Passengers Departing Overseas","2023 September","Same Day Visitor: Northern Irish","Thousand","84.4"
"Number of Passengers Departing Overseas","2023 September","Same Day Visitor: Transfer","Thousand","86.4"
"Number of Passengers Departing Overseas","2023 September","Same Day Visitor: Other","Thousand","17.7"
"Number of Passengers Departing Overseas","2023 September","Overnight Foreign Resident Visitor","Thousand","582.1"
"Number of Passengers Departing Overseas","2023 September","All Passenger Categories","Thousand","1910.1"
"Number of Passengers Departing Overseas","2023 October","Outbound Irish","Thousand","1084.6"
"Number of Passengers Departing Overseas","2023 October","Same Day Visitor: Northern Irish","Thousand","68.1"
"Number of Passengers Departing Overseas","2023 October","Same Day Visitor: Transfer","Thousand","78.1"
"Number of Passengers Departing Overseas","2023 October","Same Day Visitor: Other","Thousand","21.6"
"Number of Passengers Departing Overseas","2023 October","Overnight Foreign Resident Visitor","Thousand","577.4"
